"school.name","school.city","school.state","school.ownership","school.degrees_awarded.highest","school.degrees_awarded.predominant"
"The Wright Institute","Berkeley","CA",2,4,4
"Thomas Jefferson School of Law","San Diego","CA",2,4,4
"Yeshiva Ohr Elchonon Chabad West Coast Talmudical Seminary","Los Angeles","CA",2,3,3
"Yuba College","Marysville","CA",1,2,2
"Adams State University","Alamosa","CO",1,4,3
"Aims Community College","Greeley","CO",1,2,1
"Arapahoe Community College","Littleton","CO",1,3,1
"Bel-Rea Institute of Animal Technology","Denver","CO",3,2,2
"University of Colorado Denver/Anschutz Medical Campus","Denver","CO",1,4,3
"University of Colorado Colorado Springs","Colorado Springs","CO",1,4,3
"Spartan College of Aeronautics and Technology","Broomfield","CO",3,2,2
"University of Colorado Boulder","Boulder","CO",1,4,3
"Colorado Christian University","Lakewood","CO",2,4,3
"Colorado College","Colorado Springs","CO",2,4,3
"Concorde Career College-Aurora","Aurora","CO",3,2,1
"Colorado Mountain College","Glenwood Springs","CO",1,3,1
"Colorado Northwestern Community College","Rangely","CO",1,2,2
"Colorado School of Mines","Golden","CO",1,4,3
"Colorado School of Trades","Lakewood","CO",3,2,2
"Colorado State University-Fort Collins","Fort Collins","CO",1,4,3
"Colorado Technical University-Colorado Springs","Colorado Springs","CO",3,4,3
"Community College of Aurora","Aurora","CO",1,2,2
"Technical College of the Rockies","Delta","CO",1,1,1
"Community College of Denver","Denver","CO",1,3,2
"Lincoln College of Technology-Denver","Denver","CO",3,2,1
"Denver Seminary","Littleton","CO",2,4,4
"University of Denver","Denver","CO",2,4,3
"Emily Griffith Technical College","Denver","CO",1,1,1
"Fort Lewis College","Durango","CO",1,4,3
"Front Range Community College","Westminster","CO",1,3,1
"Iliff School of Theology","Denver","CO",2,4,4
"International Salon and Spa Academy","Colorado Springs","CO",3,1,1
"Lamar Community College","Lamar","CO",1,2,2
"Colorado Mesa University","Grand Junction","CO",1,4,3
"Metropolitan State University of Denver","Denver","CO",1,4,3
"Morgan Community College","Fort  Morgan","CO",1,3,1
"Naropa University","Boulder","CO",2,4,3
"Nazarene Bible College","Colorado Springs","CO",2,3,3
"Northeastern Junior College","Sterling","CO",1,2,1
"University of Northern Colorado","Greeley","CO",1,4,3
"Otero College","La Junta","CO",1,2,1
"Pikes Peak State College","Colorado Springs","CO",1,3,2
"Pueblo Community College","Pueblo","CO",1,3,1
"Red Rocks Community College","Lakewood","CO",1,4,1
"Regis University","Denver","CO",2,4,3
"Rocky Mountain College of Art and Design","Lakewood","CO",3,4,3
"Montessori Education Center of the Rockies","Denver","CO",2,1,1
"Colorado State University Pueblo","Pueblo","CO",1,4,3
"Pickens Technical College","Aurora","CO",1,1,1
"Intellitec College-Colorado Springs","Colorado Springs","CO",3,2,1
"Intellitec College-Grand Junction","Grand Junction","CO",3,2,1
"Trinidad State College","Trinidad","CO",1,3,1
"United States Air Force Academy","USAF Academy","CO",1,3,3
"Empire Beauty School-Thornton","Thornton","CO",3,1,1
