"","date","locality","state","school.name","location","title","event_type","organizations","participants","claims_summary","size_mean","year","schools","method","school.city","school.state","school.ownership","school.degrees_awarded.highest","state_politics","public","region","pal","arrests"
"1646",2024-11-21,"chapel hill","nc","University of North Carolina at Chapel Hill","university of north carolina chapel hill",NA,NA,"UNC SJP","students; workers; community members","for divesting University of North Carolina from Israel;against complicity in genocide in Gaza;for Palestinian liberation",200,2024,NA,"Chenoweth",NA,"NC",1,4,"Republican-State","Public","south","Gaza Related","Arrests"
"1647",2024-11-21,"princeton","nj","Princeton University","princeton university","Rally to Divest",NA,"Princeton Israeli Apartheid Divest; Central NJ Revolutionary Youth","students","for divesting Princeton University from Israel;against genocide in Gaza;against Israel's attacks on Lebanon;for Palestinian liberation",NA,2024,NA,"Chenoweth","Princeton","NJ",2,4,"Democratic-State","Private","northeast","Gaza Related","Arrests"
"1648",2024-11-21,"albuquerque","nm","University of New Mexico-Main Campus","university of new mexico","Solidarity With Palestine",NA,"UNM SJP","students","for divesting University of New Mexico from Israel;against genocide in Gaza;for Palestinian liberation",NA,2024,NA,"Chenoweth",NA,"NM",1,4,"Democratic-State","Public","west","Gaza Related","Arrests"
"1649",2024-11-21,"new york","ny","CUNY Brooklyn College","brooklyn college, brooklyn",NA,NA,"Brooklyn College SJP","students","against Israel's attacks on Gaza and Lebanon;against genocide in Gaza;for divesting CUNY from Israel;for Palestinian liberation",NA,2024,NA,"Chenoweth",NA,"NY",1,4,"Democratic-State","Public","northeast","Gaza Related","No Arrests"
"1650",2024-11-21,"new york","ny","CUNY City College","city university of new york, manhattan",NA,NA,"CUNY Law Students for Justice in Palestine","students","for divesting City University of New York from Israel;against genocide in Gaza;for Palestinian liberation",28,2024,NA,"Chenoweth",NA,"NY",1,4,"Democratic-State","Public","northeast","Gaza Related","Arrests"
"1651",2024-11-21,"new york","ny","CUNY City College","city university of new york, manhattan",NA,NA,"CUNY for Palestine; Hunter College Palestine Solidarity Association","students; workers","against Israel's attacks on Gaza and Lebanon;against genocide in Gaza;for divesting CUNY from Israel;for Palestinian liberation",NA,2024,NA,"Chenoweth",NA,"NY",1,4,"Democratic-State","Public","northeast","Gaza Related","Arrests"
"1652",2024-11-21,"new york","ny","Columbia University in the City of New York","columbia university, manhattan",NA,NA,"Columbia University Apartheid Divest",NA,"against event at Columbia University's Kraft Center for Jewish Student Life featuring Israeli journalist and CNN analyst Barak Ravid;against genocide in Gaza;for Palestinian liberation",24,2024,NA,"Chenoweth",NA,"NY",2,4,"Democratic-State","Private","northeast","Gaza Related","Arrests"
"1653",2024-11-21,"new york","ny","Columbia University in the City of New York","columbia university, manhattan",NA,NA,NA,NA,"against pro-Palestine demonstration;in solidarity with Israel;against antisemitism",1,2024,NA,"Chenoweth",NA,"NY",2,4,"Democratic-State","Private","northeast","Gaza Related","Arrests"
"1654",2024-11-21,"new york","ny","Fashion Institute of Technology","fashion institute of technology, manhattan",NA,NA,"FIT SJP","students","against Israel's attacks on Gaza and Lebanon;against genocide in Gaza;for Palestinian liberation",NA,2024,NA,"Chenoweth",NA,"NY",1,4,"Democratic-State","Public","northeast","Gaza Related","Arrests"
"1655",2024-11-21,"new york","ny","New York University","new york university, manhattan","International Day of Action for Palestine",NA,"People's Solidarity Coalition at NYU; NYU LSJP; NYU SDS; NYU YDSA; Anakbayan; Shut It Down; Jews Against Zionism","students","against Israel's attacks on Gaza and Lebanon;against genocide in Gaza;for Palestinian liberation",48,2024,NA,"Chenoweth",NA,"NY",2,4,"Democratic-State","Private","northeast","Gaza Related","Arrests"
"1656",2024-11-21,"new york","ny","The New School","the new school, manhattan",NA,NA,NA,"autonomous actionists","for divesting the New School from Israel;against genocide in Gaza;for Palestinian liberation;against imperialism",2,2024,NA,"Chenoweth",NA,"NY",2,4,"Democratic-State","Private","northeast","Gaza Related","Arrests"
"1657",2024-11-21,"purchase","ny","SUNY at Purchase College","suny purchase","International Strike Day Against Genocide",NA,"Raise the Consciousness at SUNY Purchase; ASA; HAPA; JVP Purchase; SUNY BDS","students","in remembrance of Palestinians killed in Gaza;against Israel's occupation of Palestine;for Palestinian liberation",NA,2024,NA,"Chenoweth",NA,"NY",1,4,"Democratic-State","Public","northeast","Gaza Related","Arrests"
"1658",2024-11-21,"rochester","ny","University of Rochester","university of rochester",NA,NA,NA,"students","against arrests of University of Rochester students for activism against Israel's genocide in Gaza;for divesting University of Rochester from Israel;for Palestinian liberation",40,2024,NA,"Chenoweth","Rochester","NY",2,4,"Democratic-State","Private","northeast","Gaza Related","No Arrests"
"1659",2024-11-21,"stony brook","ny","Stony Brook University","stony brook university","Walkout 4 Palestine",NA,"Stony Brook SJP; SUNY BDS; Stony Brook Graduate Students for Palestine","students; faculty","for divesting Stony Brook University from Israel;against genocide in Gaza;for Palestinian liberation",24,2024,NA,"Chenoweth","Stony Brook","NY",1,4,"Democratic-State","Public","northeast","Gaza Related","Arrests"
"1660",2024-11-21,"stony brook","ny","Stony Brook University","stony brook university",NA,NA,NA,"autonomous actionists","for divesting Stony Brook University from Israel;against genocide in Gaza;for Palestinian liberation",2,2024,NA,"Chenoweth","Stony Brook","NY",1,4,"Democratic-State","Public","northeast","Gaza Related","Arrests"
"1661",2024-11-21,"yonkers","ny","Sarah Lawrence College","sarah lawrence college","International Walkout for Divestment + Arms Embargo",NA,"SLC SJP; Sarah Lawrence Socialist Coalition; Divestment Coalition at Sarah Lawrence","students; faculty","for divesting Sarah Lawrence College from Israel;for arms embargo on Israel;against genocide in Gaza;for Palestinian liberation",NA,2024,NA,"Chenoweth","Bronxville","NY",2,4,"Democratic-State","Private","northeast","Gaza Related","No Arrests"
"1662",2024-11-21,"cincinnati","oh","University of Cincinnati-Main Campus","university of cincinnati","University Strike Against Genocide",NA,"SJP UC","students","for divesting University of Cincinnati from Israel;against genocide in Gaza;for Palestinian liberation;against white supremacy;against imperialism",35,2024,NA,"Chenoweth",NA,"OH",1,4,"Republican-State","Public","midwest","Gaza Related","No Arrests"
"1663",2024-11-21,"edmond","ok","University of Central Oklahoma","university of central oklahoma","International Day of Action for Palestine",NA,"UCO SJP","students","against genocide in Gaza;for Palestinian liberation",18,2024,NA,"Chenoweth","Edmond","OK",1,4,"Republican-State","Public","south","Gaza Related","No Arrests"
"1664",2024-11-21,"norman","ok","University of Oklahoma-Norman Campus","university of oklahoma","Popular University for Palestine",NA,"OU SJP; University of Oklahoma Student Socialist League","students; faculty","for Palestinian liberation;for Indigenous land defense;against imperialism;against anti-Muslim and anti-Arab racism",38,2024,NA,"Chenoweth",NA,"OK",1,4,"Republican-State","Public","south","Gaza Related","No Arrests"
"1665",2024-11-21,"corvallis","or","Oregon State University","university of oregon",NA,NA,NA,"graduate workers","for increased pay and a fair contract",45,2024,NA,"Chenoweth","Eugene","OR",1,4,"Democratic-State","Public","west","Non-Gaza Related","No Arrests"
"1666",2024-11-21,"bryn mawr","pa","Bryn Mawr College","bryn mawr college","University Strike Against Genocide",NA,"Bryn Mawr SJP","students","against genocide in Gaza;for Palestinian liberation",NA,2024,NA,"Chenoweth","Bryn Mawr","PA",2,4,"Republican-State","Private","northeast","Gaza Related","No Arrests"
"1667",2024-11-21,"philadelphia","pa","Temple University","temple university","Get to Know the Real John Fry",NA,"Temple SJP; SJP Philadelphia Coalition; The Philly Palestine Coalition","students","against Temple University president John Fry;against Zionism;against gentrification;for Palestinian liberation",NA,2024,NA,"Chenoweth","Philadelphia","PA",1,4,"Republican-State","Public","northeast","Gaza Related","No Arrests"
"1668",2024-11-21,"kingston","ri","University of Rhode Island","university of rhode island","All Out All Day Gathering for Palestine",NA,"URI Students for Palestine","students","for divesting University of Rhode Island from Israel;against genocide in Gaza;for Palestinian liberation",NA,2024,NA,"Chenoweth","Kingston","RI",1,4,"Democratic-State","Public","northeast","Gaza Related","No Arrests"
"1669",2024-11-21,"providence","ri","Brown University","brown university","We Will Honor All Our Martyrs!",NA,"Brown SJP","students","in honor of people killed in Palestine;for Palestinian liberation",NA,2024,NA,"Chenoweth","Providence","RI",2,4,"Democratic-State","Private","northeast","Gaza Related","No Arrests"
"1670",2024-11-21,"arlington","tx","The University of Texas at Arlington","university of texas arlington","Banner Drop for Palestine",NA,"UTA SJP; Progressive Student Union at UTA","students","for Palestinian liberation;against reactionary Republican agenda;against dissolution of LGBTQ+ program at University of Texas at Arlington",NA,2024,NA,"Chenoweth",NA,"TX",1,4,"Republican-State","Public","south","Gaza Related","No Arrests"
"1671",2024-11-21,"houston","tx","University of Houston","university of houston",NA,NA,"Graduate Students for Justice in Palestine - University of Houston; Faculty for Justice in Palestine","graduate students; faculty","in remembrance of students and teachers and educational workers killed in Gaza;against genocide in Gaza;for anti-racist and anti-colonial education;for Palestinian liberation",NA,2024,NA,"Chenoweth","Houston","TX",1,4,"Republican-State","Public","south","Gaza Related","Arrests"
"1672",2024-11-21,"houston","tx","University of Houston-Clear Lake","university of houston - clear lake","Sit-In at UH Board of Regents Meeting",NA,"HTX SJP","students","for divesting University of Houston from Israel;against genocide in Gaza;for Palestinian liberation",35,2024,NA,"Chenoweth",NA,"TX",1,4,"Republican-State","Public","south","Gaza Related","No Arrests"
"1673",2024-11-21,"spokane","wa","Gonzaga University","gonzaga university",NA,NA,NA,"students; faculty","for divesting Gonzaga University from Israel and weapons manufacturers;against genocide in Gaza;for Palestinian liberation",120,2024,NA,"Chenoweth","Spokane","WA",2,4,"Democratic-State","Private","west","Gaza Related","No Arrests"
